"asset_id","title","path","ownership_status","requirement_ids","allowed_lesson_ids","rollout_status","source_old_lessons","delivery","reasons"
"stage10-lesson-001-knowledge","The storage ladder","assets/diagrams/stage10-infographics/stage10-lesson-001-knowledge.jpg","assigned","S1.01","001","whole-course-active","1","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-002-knowledge","8-bit binary place values","assets/diagrams/stage10-infographics/stage10-lesson-002-knowledge.jpg","inventory-only","","","inventory-only","2","OPTIONAL / EXTEND",""
"stage10-lesson-002-methods","Two conversion directions, two reliable methods","assets/diagrams/stage10-infographics/stage10-lesson-002-methods.jpg","assigned","S1.03","002","whole-course-active","2","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-002-range","Range and leading zeros","assets/diagrams/stage10-infographics/stage10-lesson-002-range.jpg","inventory-only","","","inventory-only","2","OPTIONAL / EXTEND",""
"stage10-lesson-003-digits","Hexadecimal digits: 0-9 then A-F","assets/diagrams/stage10-infographics/stage10-lesson-003-digits.jpg","inventory-only","","","inventory-only","3","OPTIONAL / EXTEND",""
"stage10-lesson-003-grouping","One hex digit represents one nibble","assets/diagrams/stage10-infographics/stage10-lesson-003-grouping.jpg","assigned","S1.03","002","whole-course-active","3","OPTIONAL / EXTEND","Shows the exact four-bit grouping method for binary-to-hexadecimal conversion."
"stage10-lesson-003-padding","Padding with leading zeros","assets/diagrams/stage10-infographics/stage10-lesson-003-padding.jpg","inventory-only","","","inventory-only","3","OPTIONAL / EXTEND",""
"stage10-lesson-004-method","8-bit addition method","assets/diagrams/stage10-infographics/stage10-lesson-004-method.jpg","assigned","S1.04","003","whole-course-active","4","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-004-overflow","Unsigned 8-bit overflow","assets/diagrams/stage10-infographics/stage10-lesson-004-overflow.jpg","assigned","S1.05","003","whole-course-active","4","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-004-rules","Single-bit addition rules","assets/diagrams/stage10-infographics/stage10-lesson-004-rules.jpg","inventory-only","","","inventory-only","4","OPTIONAL / EXTEND",""
"stage10-lesson-005-range","8-bit signed ranges and zero","assets/diagrams/stage10-infographics/stage10-lesson-005-range.jpg","inventory-only","","","inventory-only","5","OPTIONAL / EXTEND",""
"stage10-lesson-005-systems","Three ways to represent negative binary values","assets/diagrams/stage10-infographics/stage10-lesson-005-systems.jpg","assigned","S1.02","002","whole-course-active","2","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-005-twos","Two’s complement method","assets/diagrams/stage10-infographics/stage10-lesson-005-twos.jpg","assigned","S1.04","003","whole-course-active","5","OPTIONAL / EXTEND","Supports fixed-width subtraction by forming the negative operand with two's complement."
"stage10-lesson-006-convert","Converting simple binary fractions","assets/diagrams/stage10-infographics/stage10-lesson-006-convert.jpg","inventory-only","","","inventory-only","6","OPTIONAL / EXTEND",""
"stage10-lesson-006-point","Binary fractional place value","assets/diagrams/stage10-infographics/stage10-lesson-006-point.jpg","inventory-only","","","inventory-only","6","OPTIONAL / EXTEND",""
"stage10-lesson-006-precision","Precision limits: why computers sometimes approximate","assets/diagrams/stage10-infographics/stage10-lesson-006-precision.jpg","inventory-only","","","inventory-only","6","OPTIONAL / EXTEND",""
"stage10-lesson-007-ascii","ASCII and extended ASCII","assets/diagrams/stage10-infographics/stage10-lesson-007-ascii.jpg","assigned","S1.07","004","whole-course-active","7","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-007-concept","What a character set actually does","assets/diagrams/stage10-infographics/stage10-lesson-007-concept.jpg","inventory-only","","","inventory-only","7","OPTIONAL / EXTEND",""
"stage10-lesson-007-encoding","Character set vs encoding","assets/diagrams/stage10-infographics/stage10-lesson-007-encoding.jpg","inventory-only","","","inventory-only","7","OPTIONAL / EXTEND",""
"stage10-lesson-007-unicode","Unicode: more characters, more global use","assets/diagrams/stage10-infographics/stage10-lesson-007-unicode.jpg","assigned","S1.07","004","whole-course-active","7","OPTIONAL / EXTEND","Contrasts Unicode coverage with the smaller ASCII families."
"stage10-lesson-008-depth","Colour depth: bits per pixel","assets/diagrams/stage10-infographics/stage10-lesson-008-depth.jpg","assigned","S1.08","005","whole-course-active","8","OPTIONAL / EXTEND","Explains colour depth as bits per pixel and its quality/file-size effect."
"stage10-lesson-008-formula","Bitmap file size formula","assets/diagrams/stage10-infographics/stage10-lesson-008-formula.jpg","assigned","S1.08","005","whole-course-active","8","OPTIONAL / EXTEND","Provides the required bitmap pixel-data calculation without introducing sound."
"stage10-lesson-008-pixels","Bitmap file header and pixel data","assets/diagrams/stage10-infographics/stage10-lesson-008-pixels.jpg","assigned","S1.08","005","whole-course-active","8","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-008-resolution","Resolution: width × height","assets/diagrams/stage10-infographics/stage10-lesson-008-resolution.jpg","assigned","S1.08","005","whole-course-active","8","OPTIONAL / EXTEND","Explains image resolution separately from screen resolution."
"stage10-lesson-009-chain","The calculation chain","assets/diagrams/stage10-infographics/stage10-lesson-009-chain.jpg","inventory-only","","","inventory-only","9","OPTIONAL / EXTEND",""
"stage10-lesson-009-metadata","Metadata is data about the image, not the pixels themselves","assets/diagrams/stage10-infographics/stage10-lesson-009-metadata.jpg","inventory-only","","","inventory-only","9","OPTIONAL / EXTEND",""
"stage10-lesson-009-units","Units: do not trip at the finish line","assets/diagrams/stage10-infographics/stage10-lesson-009-units.jpg","inventory-only","","","inventory-only","9","OPTIONAL / EXTEND",""
"stage10-lesson-010-drawing-list","Vector drawing list: objects, properties and redrawing","assets/diagrams/stage10-infographics/stage10-lesson-010-drawing-list.jpg","assigned","S1.09","005","whole-course-active","10","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-010-drawing-list","stage10 lesson 010 drawing list","assets/diagrams/stage10-infographics/stage10-lesson-010-drawing-list.svg","inventory-only","","","inventory-only","","",""
"stage10-lesson-011-duration","Duration: how long the sound lasts","assets/diagrams/stage10-infographics/stage10-lesson-011-duration.jpg","inventory-only","","","inventory-only","11","OPTIONAL / EXTEND",""
"stage10-lesson-011-formula","Basic mono sound file size formula","assets/diagrams/stage10-infographics/stage10-lesson-011-formula.jpg","inventory-only","","","inventory-only","11","OPTIONAL / EXTEND",""
"stage10-lesson-011-rate","Sampling rate: samples per second","assets/diagrams/stage10-infographics/stage10-lesson-011-rate.jpg","assigned","S1.10","006","whole-course-active","11","OPTIONAL / EXTEND","Shows sampling rate as samples per second and its accuracy/file-size trade-off."
"stage10-lesson-011-resolution","Sampling resolution: bits per sample","assets/diagrams/stage10-infographics/stage10-lesson-011-resolution.jpg","assigned","S1.10","006","whole-course-active","11","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-011-sampling","Sampling turns an analogue wave into digital values","assets/diagrams/stage10-infographics/stage10-lesson-011-sampling.jpg","assigned","S1.10","006","whole-course-active","11","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-012-channels","Channels: mono and stereo","assets/diagrams/stage10-infographics/stage10-lesson-012-channels.jpg","inventory-only","","","inventory-only","12","OPTIONAL / EXTEND",""
"stage10-lesson-012-formula","The full uncompressed sound formula","assets/diagrams/stage10-infographics/stage10-lesson-012-formula.jpg","inventory-only","","","inventory-only","12","OPTIONAL / EXTEND",""
"stage10-lesson-012-tradeoffs","Parameter changes and consequences","assets/diagrams/stage10-infographics/stage10-lesson-012-tradeoffs.jpg","inventory-only","","","inventory-only","12","OPTIONAL / EXTEND",""
"stage10-lesson-012-units","Unit conversion without changing the answer","assets/diagrams/stage10-infographics/stage10-lesson-012-units.jpg","inventory-only","","","inventory-only","12","OPTIONAL / EXTEND",""
"stage10-lesson-013-lossless","Lossless compression: exact reconstruction","assets/diagrams/stage10-infographics/stage10-lesson-013-lossless.jpg","assigned","S1.11","006","whole-course-active","13","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-013-lossy","Lossy compression: smaller, but not exact","assets/diagrams/stage10-infographics/stage10-lesson-013-lossy.jpg","assigned","S1.11","006","whole-course-active","13","OPTIONAL / EXTEND","Provides the lossy half of the required lossy/lossless comparison."
"stage10-lesson-013-purpose","Why compress data?","assets/diagrams/stage10-infographics/stage10-lesson-013-purpose.jpg","assigned","S1.11","006","whole-course-active","13","OPTIONAL / EXTEND","Explains why compression is needed before comparing methods."
"stage10-lesson-013-ratio","Compression ratio and saved space","assets/diagrams/stage10-infographics/stage10-lesson-013-ratio.jpg","inventory-only","","","inventory-only","13","OPTIONAL / EXTEND",""
"stage10-lesson-014-dictionary","Dictionary-style compression","assets/diagrams/stage10-infographics/stage10-lesson-014-dictionary.jpg","inventory-only","","","inventory-only","14","OPTIONAL / EXTEND",""
"stage10-lesson-014-effectiveness","When does it help?","assets/diagrams/stage10-infographics/stage10-lesson-014-effectiveness.jpg","inventory-only","","","inventory-only","14","OPTIONAL / EXTEND",""
"stage10-lesson-014-rle","Run-length encoding","assets/diagrams/stage10-infographics/stage10-lesson-014-rle.jpg","assigned","S1.11","006","whole-course-active","14","OPTIONAL / EXTEND","Shows the named run-length encoding example required by the syllabus notes."
"stage10-lesson-015-cases","System cases","assets/diagrams/stage10-infographics/stage10-lesson-015-cases.jpg","inventory-only","","","inventory-only","15","OPTIONAL / EXTEND",""
"stage10-lesson-015-framework","A decision framework","assets/diagrams/stage10-infographics/stage10-lesson-015-framework.jpg","inventory-only","","","inventory-only","15","OPTIONAL / EXTEND",""
"stage10-lesson-015-tradeoffs","Useful trade-off sentences","assets/diagrams/stage10-infographics/stage10-lesson-015-tradeoffs.jpg","inventory-only","","","inventory-only","15","OPTIONAL / EXTEND",""
"stage10-lesson-016-methods","Section 1 method bank","assets/diagrams/stage10-infographics/stage10-lesson-016-methods.jpg","review-only","","","inventory-only","16","OPTIONAL / EXTEND",""
"stage10-lesson-016-sprint","Six-minute review sprint","assets/diagrams/stage10-infographics/stage10-lesson-016-sprint.jpg","review-only","","","inventory-only","16","OPTIONAL / EXTEND",""
"stage10-lesson-016-triage","Question triage: choose the toolbox first","assets/diagrams/stage10-infographics/stage10-lesson-016-triage.jpg","review-only","","","inventory-only","16","OPTIONAL / EXTEND",""
"stage10-lesson-017-lanwan","Why LAN and WAN management differs","assets/diagrams/stage10-infographics/stage10-lesson-017-lanwan.jpg","inventory-only","","","inventory-only","17","OPTIONAL / EXTEND",""
"stage10-lesson-017-purpose","How a shared resource becomes useful","assets/diagrams/stage10-infographics/stage10-lesson-017-purpose.jpg","assigned","S2.01","007","whole-course-active","17","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-017-topologies","Why connection patterns change risk","assets/diagrams/stage10-infographics/stage10-lesson-017-topologies.jpg","assigned","S2.04","008","whole-course-active","17","OPTIONAL / EXTEND","Explains how topology link patterns change resilience and connection cost."
"stage10-lesson-018-compare","Client-server vs peer-to-peer","assets/diagrams/stage10-infographics/stage10-lesson-018-compare.jpg","assigned","S2.02","007","whole-course-active","18","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-018-model-visual","One model has equal peers; the other has dedicated service roles","assets/diagrams/stage10-infographics/stage10-lesson-018-model-visual.jpg","inventory-only","","","inventory-only","18","OPTIONAL / EXTEND",""
"stage10-lesson-018-roles","Core roles","assets/diagrams/stage10-infographics/stage10-lesson-018-roles.jpg","inventory-only","","","inventory-only","18","OPTIONAL / EXTEND",""
"stage10-lesson-018-usecases","Scenario choices","assets/diagrams/stage10-infographics/stage10-lesson-018-usecases.jpg","inventory-only","","","inventory-only","18","OPTIONAL / EXTEND",""
"stage10-lesson-019-packet-journey","One message, several routes, one reassembled result","assets/diagrams/stage10-infographics/stage10-lesson-019-packet-journey.jpg","assigned","S2.05","008","whole-course-active","19","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-019-routing","Routing and arrival","assets/diagrams/stage10-infographics/stage10-lesson-019-routing.jpg","inventory-only","","","inventory-only","19","OPTIONAL / EXTEND",""
"stage10-lesson-019-structure","Packet structure","assets/diagrams/stage10-infographics/stage10-lesson-019-structure.jpg","inventory-only","","","inventory-only","19","OPTIONAL / EXTEND",""
"stage10-lesson-019-switching","Packet switching","assets/diagrams/stage10-infographics/stage10-lesson-019-switching.jpg","inventory-only","","","inventory-only","19","OPTIONAL / EXTEND",""
"stage10-lesson-020-layers","Layered communication","assets/diagrams/stage10-infographics/stage10-lesson-020-layers.jpg","inventory-only","","","inventory-only","20","OPTIONAL / EXTEND",""
