lesson,markdown_file,title,markdown_hash,html_hash,identity,semantic_review,release_status
001,001-bits-bytes-nibbles-and-storage-units.md,"Lesson 001: Bits, bytes, nibbles and storage units",4f0d5c8851e7fd5d96b833dd77ae1d9e5f10b874cace095416445cc9e6c75b29,dd4ea30292ad4a818f57e67b783f7abcefa4bbce4a3e733ce19d2d9c4ab1151f,Pass,Reviewed,Approved
002,002-binary-place-value-and-denary-conversion.md,Lesson 002: Binary place value and denary conversion,a4505e4535ef5140bf82488fc5eb56bc5036db3b25d00371f7c6a5b73d0d6385,89768458de269843da207ab4584b84540b67912fe034a21a704c4789a88b8049,Pass,Reviewed,Approved
003,003-hexadecimal-notation-and-binary-grouping.md,Lesson 003: Hexadecimal notation and binary grouping,dd1902dc1ea1a334bb41bf84edf98026df1d4d084f0efcbf6c895ac483919eee,689e0346c00ff948aef46cdec546d2c0eead47b9e01d6184d053570732687e3c,Pass,Reviewed,Approved
004,004-binary-addition-carries-and-overflow.md,"Lesson 004: Binary addition, carries, and overflow",84b750f8de05ec53a5a648fa4ea28050e75faee34cb5c38593b89274bca06173,e50fcc96e1245bfdb586febc58d1428bfb2c8a00d469f2a84e73825d3de1eed3,Pass,Reviewed,Approved
005,005-signed-binary-sign-and-magnitude-and-twos-complement.md,Lesson 005: Signed binary: sign-and-magnitude and two's complement,fca9243422e8ad42f18e77704facb39316c697f2306393f950cc400493c78af6,a6a6b242f72d0b6bc78f4834574863aff1adfd22b509701efcedfcc22072306a,Pass,Reviewed,Approved
006,006-binary-fractions-and-precision-limits.md,Lesson 006: Binary fractions and precision limits,b2ef8568c32a47871d91b46a63c3c82133d4c304adbe5173d96c1096b52a0f57,ec9c6c8792610b15efa76dbbd5e35289e62b068dc899bb5eb49116848f359ac0,Pass,Reviewed,Approved
007,007-character-sets-ascii-unicode-and-why-emojis-are-not-magic.md,"Lesson 007: Character sets: ASCII, Unicode and emoji representation",c412475ba00c3f244582fce07c86f97636abd9f97b17e7892f2fa5e3d0a053ce,c8aae8f0a7c5d3dc2ff2842de4f0bf6f9cbe7a2516acb82566d0bba31796d00b,Pass,Reviewed,Approved
008,008-bitmap-images-pixels-resolution-and-colour-depth.md,"Lesson 008: Bitmap images: pixels, resolution, and colour depth",6aa5ae7e1085a7abce8445ce69384bd4de543a58fc08e9270634635ba199c8bd,d8eb818f0232a493a932608e8f67be2083cf156933f5b60ea02853dc0622619d,Pass,Reviewed,Approved
009,009-image-file-size-calculations-and-metadata.md,Lesson 009: Image file size calculations and metadata,35f52f30a2449df90c045e373264570fe55605d2901f2237026f8a06c0bb62d5,8677329877422203f65e3fb4a7370a7830639d0b28252681cef3d830db5f2b6a,Pass,Reviewed,Approved
010,010-digital-sound-sampling-rate-sample-resolution-and-duration.md,"Lesson 010: Digital sound: sampling rate, sampling resolution, and duration",37018e34e39a10ad4d1132552937ec838ac56bf3a49cae4dd4c535c24a244f0d,ad053b5940f489bed7a93a0cbbd85686add0e466523f4b9271afa75847eef6e5,Pass,Reviewed,Approved
011,011-sound-file-size-calculations.md,Lesson 011: Sound file size calculations,c4c979d1645fe4b974efe4251f180219b89ec26620f0cc5d5cc5784ba71a5220,e46b3172e461006354ff406bd996c9962a775a1f13b5d8c9e330a749b5c48962,Pass,Reviewed,Approved
012,012-compression-lossless-vs-lossy.md,Lesson 012: Compression: lossless vs lossy,7a97024636b0ede09942f1bad21ac90bc4bdf93690d25ad5855ae67de937b629,ca223f1fcc05eb180b56c573baee311b49d3424e76b4498444e9e15086d83d01,Pass,Reviewed,Approved
013,013-run-length-encoding-and-dictionary-style-compression.md,Lesson 013: Run-length encoding and dictionary-style compression,8597e65f7be404c481bfdb3721dd05ad968bacc8c664e5a18f8abb8d89616a8e,1e3f64c84d3fee88b7ed2c7d99f28b4bf8381abdcbe17033f599bb91beda526b,Pass,Reviewed,Approved
