requirement_id,section,teaching_lessons,risk,gate_status,evidence_review,assessment_forms,visual_evidence,release_status
S1.01,1,1,High,Complete,Reviewed,2,L001/explanation-knowledge-img-1,Approved
S1.02,1,2;3;5;6,High,Complete,Reviewed,3,L002/explanation-systems-img-1,Approved
S1.03,1,2;3;5;6,High,Complete,Reviewed,4,L002/explanation-methods-img-1,Approved
S1.04,1,4;5,High,Complete,Reviewed,3,L004/explanation-method-img-1,Approved
S1.05,1,4,High,Complete,Reviewed,1,L004/explanation-overflow-img-1,Approved
S1.06,1,6,Low,Complete,Reviewed,1,,Approved
S1.07,1,7,Low,Complete,Reviewed,2,L007/explanation-ascii-img-1,Approved
S1.08,1,8;9,High,Complete,Reviewed,2,L008/explanation-pixels-img-1,Approved
S1.09,1,10,Medium,Complete,Reviewed,2,L010/explanation-drawing-list-img-1,Approved
S1.10,1,11,High,Complete,Reviewed,2,L011/explanation-sampling-img-1;L011/explanation-resolution-img-1,Approved
S1.11,1,13,High,Complete,Reviewed,1,L013/explanation-lossless-img-1,Approved
S2.01,2,17,Medium,Complete,Reviewed,2,L017/explanation-purpose-img-1,Approved
S2.02,2,17,Medium,Complete,Reviewed,1,L018/explanation-compare-img-1,Approved
S2.03,2,17,Low,Complete,Reviewed,1,,Approved
S2.04,2,18,Medium,Complete,Reviewed,1,,Approved
S2.05,2,19,Medium,Complete,Reviewed,2,L019/explanation-packet-journey-img-1,Approved
S2.06,2,20,Medium,Complete,Reviewed,1,L025/explanation-cloud-img-1,Approved
S2.07,2,20,Medium,Complete,Reviewed,1,L023/explanation-compare-img-1,Approved
S2.08,2,20,Medium,Complete,Reviewed,2,L023/explanation-wired-img-1;L023/explanation-wireless-img-1,Approved
S2.09,2,21,Medium,Complete,Reviewed,1,L024/explanation-lan-img-1,Approved
S2.10,2,21,Medium,Complete,Reviewed,2,L024/explanation-routing-img-1,Approved
S2.11,2,21,Medium,Complete,Reviewed,1,,Approved
S2.12,2,21,Medium,Complete,Reviewed,2,,Approved
S2.13,2,21,Low,Complete,Reviewed,1,,Approved
S2.14,2,21,Medium,Complete,Reviewed,1,,Approved
S2.15,2,21,Medium,Complete,Reviewed,1,,Approved
S2.16,2,21,Medium,Complete,Reviewed,1,L021/explanation-dns-img-1;L021/explanation-urls-img-1,Approved
S3.01,3,28,Medium,Complete,Reviewed,3,,Approved
S3.02,3,29,Medium,Complete,Reviewed,2,L034/explanation-embedded-img-1,Approved
S3.03,3,30;31,Medium,Complete,Reviewed,4,,Approved
S3.04,3,31,Low,Complete,Reviewed,1,,Approved
S3.05,3,31,Low,Complete,Reviewed,1,L031/explanation-ram-rom-img-1,Approved
S3.06,3,31,Low,Complete,Reviewed,1,,Approved
S3.07,3,31,Low,Complete,Reviewed,1,,Approved
S3.08,3,32,Medium,Complete,Reviewed,2,L035/explanation-control-img-1,Approved
S3.09,3,32,Medium,Complete,Reviewed,1,L032/explanation-sensors-img-1,Approved
S3.10,3,33,High,Complete,Reviewed,4,L033/explanation-gate-visual-img-1,Approved
S4.01,4,42,High,Complete,Reviewed,2,L042/explanation-architecture-img-1,Approved
S4.02,4,42,High,Complete,Reviewed,2,L042/explanation-acc-status-img-1,Approved
S4.03,4,42,Low,Complete,Reviewed,1,L042/explanation-registers-img-1,Approved
S4.04,4,43,Low,Complete,Reviewed,1,L045/explanation-three-buses-img-1,Approved
S4.05,4,43,High,Complete,Reviewed,1,L043/explanation-width-img-1,Approved
S4.06,4,43,Low,Complete,Reviewed,1,,Approved
S4.07,4,44,High,Complete,Reviewed,1,L044/explanation-processor-img-1,Approved
S4.08,4,45,Low,Complete,Reviewed,1,L049/explanation-cycle-img-1,Approved
S4.09,4,46,High,Complete,Reviewed,2,L046/explanation-machine-code-img-1,Approved
S4.10,4,47,Low,Complete,Reviewed,1,,Approved
S4.11,4,47,High,Complete,Reviewed,2,L047/explanation-assembler-img-1,Approved
S4.12,4,47,High,Complete,Reviewed,2,L047/explanation-assembler-img-1,Approved
S4.13,4,47;48;49,High,Complete,Reviewed,3,L047/explanation-effective-img-1,Approved
S4.14,4,48,High,Complete,Reviewed,2,L048/explanation-arrays-img-1,Approved
S4.15,4,50,High,Complete,Reviewed,4,L050/explanation-shifts-img-1,Approved
S5.01,5,53,High,Complete,Reviewed,2,L053/explanation-os-img-1,Approved
S5.02,5,54,Low,Complete,Reviewed,1,L054/explanation-compare-img-1,Approved
S5.03,5,55,High,Complete,Reviewed,2,L055/explanation-libraries-img-1,Approved
S5.04,5,56,Low,Complete,Reviewed,1,L057/explanation-assembler-img-1,Approved
S5.05,5,56,Medium,Complete,Reviewed,2,L057/explanation-compiler-img-1,Approved
S5.06,5,57,Low,Complete,Reviewed,2,,Approved
S5.07,5,57,Low,Complete,Reviewed,3,,Approved
S6.01,6,63,Medium,Complete,Reviewed,1,L063/explanation-integrity-img-1,Approved
S6.02,6,63,Medium,Complete,Reviewed,1,,Approved
S6.03,6,64;66;68;69,Medium,Complete,Reviewed,6,L066/explanation-biometrics-img-1,Approved
S6.04,6,64;65,Medium,Complete,Reviewed,3,L064/explanation-spyware-img-1,Approved
S6.05,6,65;67;69,Medium,Complete,Reviewed,3,L067/explanation-core-img-1,Approved
S6.06,6,67;68,High,Complete,Reviewed,2,L067/explanation-controls-img-1,Approved
S6.07,6,70,High,Complete,Reviewed,4,L070/explanation-checks-img-1,Approved
S6.08,6,70,High,Complete,Reviewed,4,L070/explanation-verification-img-1,Approved
S7.01,7,73;78,Medium,Complete,Reviewed,2,L073/explanation-ethics-img-1,Approved
S7.02,7,73;78,Medium,Complete,Reviewed,2,L073/explanation-ethics-img-1,Approved
S7.03,7,73;78,High,Complete,Reviewed,3,L073/explanation-stakeholders-img-1,Approved
S7.04,7,75;78,Medium,Complete,Reviewed,2,L075/explanation-copyright-img-1,Approved
S7.05,7,75;76;78,High,Complete,Reviewed,4,L075/explanation-licensing-img-1,Approved
S7.06,7,77;78,High,Complete,Reviewed,4,L077/explanation-environment-img-1,Approved
S8.01,8,79;90,High,Complete,Reviewed,2,L079/explanation-compare-img-1,Approved
S8.02,8,80;90,High,Complete,Reviewed,3,L080/explanation-referential-img-1,Approved
S8.03,8,81;90,Medium,Complete,Reviewed,2,L083/explanation-cardinality-img-1,Approved
S8.04,8,81;90,High,Complete,Reviewed,2,L081/explanation-normal-forms-img-1,Approved
S8.05,8,81;90,High,Complete,Reviewed,1,L081/explanation-dbms-img-1,Approved
S8.06,8,81;90,High,Complete,Reviewed,1,L081/explanation-dbms-img-1,Approved
S8.07,8,84;90,High,Complete,Reviewed,2,L084/explanation-dml-img-1,Approved
S8.08,8,85;90,High,Complete,Reviewed,2,L085/explanation-clauses-img-1,Approved
S8.09,8,86;90,Medium,Complete,Reviewed,1,,Approved
S8.10,8,86;90,High,Complete,Reviewed,1,L086/explanation-join-img-1,Approved
S8.11,8,88;90,Low,Complete,Reviewed,3,L088/explanation-dml-img-1,Approved
S9.01,9,99;113,Medium,Complete,Reviewed,1,L100/explanation-abstraction-img-1,Approved
S9.02,9,99;103;113,Medium,Complete,Reviewed,2,L100/explanation-decomposition-img-1,Approved
S9.03,9,100;113,High,Complete,Reviewed,1,L100/explanation-concept-img-1,Approved
S9.04,9,100;113,Medium,Complete,Reviewed,2,L102/explanation-notation-img-1,Approved
S9.05,9,100;103;113,High,Complete,Reviewed,2,L100/explanation-ipoc-img-1,Approved
S9.06,9,101;113,Medium,Complete,Reviewed,2,L101/explanation-combining-img-1,Approved
S9.07,9,102;113,High,Complete,Reviewed,2,L102/explanation-flowcharts-img-1,Approved
S9.08,9,103;113,High,Complete,Reviewed,2,L103/explanation-analyser-img-1,Approved
S9.09,9,104;113,High,Complete,Reviewed,1,L104/explanation-equivalence-img-1,Approved
S10.01,10,114,High,Complete,Reviewed,3,L114/explanation-pseudocode-img-1,Approved
S10.02,10,115,High,Complete,Reviewed,2,L115/explanation-declare-119-img-1,Approved
S10.03,10,116;118,High,Complete,Reviewed,2,L116/explanation-access-img-1,Approved
S10.04,10,116;117,High,Complete,Reviewed,2,L116/explanation-model-img-1;L116/explanation-model-117-img-1,Approved
S10.05,10,116;117,High,Complete,Reviewed,2,L116/explanation-pseudocode-img-1;L116/explanation-pseudocode-117-img-1,Approved
S10.06,10,118;119,High,Complete,Reviewed,1,L118/explanation-linear-img-1;L118/explanation-bubble-img-1,Approved
S10.07,10,120,High,Complete,Reviewed,2,L120/explanation-pseudocode-121-img-1,Approved
S10.08,10,121,High,Complete,Reviewed,2,L121/explanation-concept-123-img-1,Approved
S10.09,10,121;122,High,Complete,Reviewed,4,L121/explanation-stack-img-1;L121/explanation-queue-img-1;L121/explanation-implementation-img-1,Approved
S10.10,10,121;122,High,Complete,Reviewed,2,L121/explanation-implementation-img-1,Approved
S11.01,11,127,High,Complete,Reviewed,2,L127/explanation-standard-img-1,Approved
