lesson,visual_id,section_id,method,topic,required_facts,source,status,content_hash
002,bitVisual,converter,HTML/CSS,Interactive place-value visual,Interactive place-value visual,Lesson content and applicable syllabus row,NeedsFactReview,caa5cd27f5c8b9c1fd6908e0fc71401fa957d7fb33e1ffc8ca196a55438dcfb5
003,nibbleVisual,converter,HTML/CSS,Nibble grouping visual,Nibble grouping visual,Lesson content and applicable syllabus row,NeedsFactReview,f0eeffc02c57adcbf66e3d093499d58b6cc0124510cf6bfbf6e290440d9eae07
004,additionVisual,adder,HTML/CSS,Binary addition visual,Binary addition visual,Lesson content and applicable syllabus row,NeedsFactReview,dbf5e28ddbe0e9ee2d642f6d8670d5977d9810889ebd1cd2144d0d747db9e91a
005,bitVisual,converter,HTML/CSS,Two's complement bit visual,Two's complement bit visual,Lesson content and applicable syllabus row,NeedsFactReview,6856a3be266c7e2e6676afb1a92afdbb20cc2785a7a3fd68b9e40d2ed9e6754b
006,bitVisual,tool,HTML/CSS,Binary fraction bit visual,Binary fraction bit visual,Lesson content and applicable syllabus row,NeedsFactReview,ff70d9388abb66df24bdf9d0ea6322ec64ed779b4e10c170a4b4bbd352ccc3c9
007,byteVisual,tool,HTML/CSS,Character byte visual,Character byte visual,Lesson content and applicable syllabus row,NeedsFactReview,a35876b7e754e48669c2b1f20b165b0018c5ce661c5e62eead6e6a704a396d81
010,overview-svg-1,overview,Inline SVG,Sampled sound wave,Sampled sound wave,Lesson content and applicable syllabus row,NeedsFactReview,5f5bcc08bc169920182de60b863bcdbcd3fe523597ba84313b4763425913756c
016,topologies-circle-10,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,d33a57cdd1f5ead5139f4ecc476c207f60465b77b3d23cb10091e840e13c73f9
016,topologies-circle-11,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,91685d3a981d203f64546c1b50a03fbb1cadb2d375f0d24fa5f5bacc048503c8
016,topologies-circle-18,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,10fd7b8c2e6bb4f69cbc20d34783fd22c8151a0439368d66398d958fa20c3b82
016,topologies-circle-19,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,2a988a53df606e170ea664e23cd34ba1e3a3af96cb3ad9d94f691cf9e5bcc17b
016,topologies-circle-20,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,754884a743d2cf70f275a9c1d369b5f6394c5f2b65266744c6d9b7d3561ec626
016,topologies-circle-21,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,04e67857caae1037c51a27e1f197008267443babff2ac80d34d4ff77e202a52e
016,topologies-circle-31,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,3479bad03838500dca1b9cf776400eb1305b101aa12f20eba9606543aa059d85
016,topologies-circle-32,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,43ab1f971445e75b59c6dae4719d3d6ad448f7d4390d4b4d51689faf0325719b
016,topologies-circle-33,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,924564cac98ba855b85ec30932daebb489120e7aaca164ff505b35dc8b400c57
016,topologies-circle-34,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,4c347210877432c6f3c4e0bc7957a667fd207415a68df66056e11d1a77ce3a18
016,topologies-circle-43,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,802b9399dc34b60c27e2c4a762af20172ea2ea44dcc4e9981425d4b57ff37bd3
016,topologies-circle-44,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,c174aca428bfb5d7db72c079bfde33ad10f241666c1082799e7c210c9721b019
016,topologies-circle-45,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,aa908f82bda4b93be2f62fe3052e8b1a76348bb9ab7a43a698c259263ab05bc4
