"page","kind","desktop_1440","mobile_390","console","status","content_hash","reviewer","review_round","evidence","approval_source"
"index","hub","Pass","Pass","Pass","ApprovedCurrentBrowser","b1d36719d03db2d9cdad4c4b6183aba2d39da3cd687bb254cf13959141e27710","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#index","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"assessments","hub","Pass","Pass","Pass","ApprovedCurrentBrowser","1178000ab6c26245722bdb448e33907c2128eb81a1aee2c0c28945104b7e7a56","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#assessments","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"resources","hub","Pass","Pass","Pass","ApprovedCurrentBrowser","1a7525d6a43c983f306393e0a907071f8272a28949762f6063f3deb8b8bca709","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#resources","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-001","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","4fdeac8db10da65bc12b660e0802003f1bb8b9d4f126f44d9550355f5419ba7d","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-001","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-002","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","627da0b16fa4eb8b5d9aa9bcf237905bb1282a60fff57f62965aae002294a9f3","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-002","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-003","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","41425f521e40087842a499001867adc6e92348e8456ba0ae6094ba52dafe6052","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-003","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-004","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","31d82ff3137f878b399416b88276ddefebf16879b0040a0108c7cf1e78ce3167","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-004","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-005","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","9c25e1dfcf4f25a0409c1f0fc9b9622f6217d370e1c5778444981a8577620fb1","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-005","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-006","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","b2541f9a7e62d9932ff2a7e6bc2cdd2417d7522a264f1f27b38a9c76d527f598","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-006","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-007","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","7a1295562f7b01809d2de7b626540026c8ba2eb5f27714f228d6dcd087263802","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-007","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
