page,semantics,keyboard,contrast,language,status,content_hash,reviewer,review_round,evidence
index,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,80731f0bfd49c1dd7be9476db8288b19bc22e268996d609faae715fbe163093e,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
assessments,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,3e398e6f02e8838e5005e60004d9b0cca4887f9675328c8502afe43720e0cd61,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
resources,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,1a7525d6a43c983f306393e0a907071f8272a28949762f6063f3deb8b8bca709,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-001,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,25a436a7d42c67c96a8c7eb965c79d2b0442858bb9837d084d0f84ffadd50ffa,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-002,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,58965e938a4f68b8b71b862b44e66caf8497625a5428842c5c50c7ca267b3350,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-003,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,09e0210b1a43e91aa3099e19e9e09039bcff68844394bacd4af709ce1764fa57,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-004,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,7812879432b055f5d1bc0b5f2aba802936ee0a89cadb1f7048246966cb633b90,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-005,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,252c484bf5ee4124bca7ab1b55f4e16307b669e6d9a4c46de47f1361446f2349,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-006,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,f83e7a12c4a3af489531fb3350aa0ff55c573914e620b875b81abdf7e9a33eb1,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-007,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,758a90ec32046933b948457988036c6dbc2e896c7e2ac72649d5864d7cc349e1,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-008,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,608c80d8448ed403d821652ebcc97cb67a623690c5222f4bcd9e8d3d43c789bf,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-009,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,793bf86e136ba1531207b11f0da4904c833ccc99391ef6955f9910a8cd5358f8,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-010,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,fa32eb18bcbf9e3163163328db5017433c08310c7046428c0e38a7fcbb86c1fd,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-011,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,4733e5697485ad152e0b929102bc360240786cdd034efa90816cfd67c20a2b33,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-012,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,4bb4e07cad09b9d56336283407f6aff33243d6d92844f14191fad23ef3be3924,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-013,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,196ad68cd0dc74216a9439ef12a5032f430b9b167086760b0c50395f3fc8fd7c,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-014,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,6cfcd924bf6a0a429acea3d5160766eeb7e72e66eae7d512e2d3b27fab98e18d,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-015,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,5288b5a7bbbcfbd3d4e91b0a5a535803f50ed8af41c0f284862a45a66253c452,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-016,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,efa21fad7de03393ffafd1ac89ed85e06e583f7a1337d563667119fbf503d470,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-017,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,ee55e877327634a2549fa74bb5e927ef80711cfe34eaeef71580f49fa8a2d43d,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-018,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,b00de29f547a015b50e788e3b08a809d0047bfc858766564f75c18bcb1f25d7d,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-019,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,5f5520ea0e74ff5bb6538e4dac3510244c872a88124146c449c06608839a41cf,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-020,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,baf0f2661ba7943008530646b7c559c0570ac77a5dd953552dd4e2bf583320d8,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-021,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,ec74d800acf7d022946040849e6f9427040c5c4f28a0e4914579aa3a483ef4ef,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-022,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,862b4234d7d82b930b8fda501d69080ef3890580fadb4f337dc35da3fb6e396e,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-023,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,5d2de56ba48f53acf7a1f99e6ab1ff289af79a61d5954d963783d6cd1f241000,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-024,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,22b258279fb53f87cae37f22909fc960d2b29f26b21af0028ca31149ba5120b0,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
